"ID","ObservationTime","ObservationDate","ScreenTemperature","SiteName"
"4032461","8","2015-01-15T00:00:00","5.80","CASTLEDERG (3904)"
"4032596","9","2015-01-15T00:00:00","4.00","CASTLEDERG (3904)"
"4032728","10","2015-01-15T00:00:00","3.40","CASTLEDERG (3904)"
"4032864","11","2015-01-15T00:00:00","4.00","CASTLEDERG (3904)"
"4032997","12","2015-01-15T00:00:00","2.70","CASTLEDERG (3904)"
"4033131","13","2015-01-15T00:00:00","5.00","CASTLEDERG (3904)"
"4033267","14","2015-01-15T00:00:00","6.10","CASTLEDERG (3904)"
"4033401","15","2015-01-15T00:00:00","5.90","CASTLEDERG (3904)"
"4033536","16","2015-01-15T00:00:00","5.60","CASTLEDERG (3904)"
"4033672","17","2015-01-15T00:00:00","5.00","CASTLEDERG (3904)"
"4033808","18","2015-01-15T00:00:00","4.90","CASTLEDERG (3904)"
"4033943","19","2015-01-15T00:00:00","5.00","CASTLEDERG (3904)"
"4034078","20","2015-01-15T00:00:00","3.90","CASTLEDERG (3904)"
"4034214","21","2015-01-15T00:00:00","2.50","CASTLEDERG (3904)"
"4034349","22","2015-01-15T00:00:00","3.90","CASTLEDERG (3904)"
"4034485","23","2015-01-15T00:00:00","3.00","CASTLEDERG (3904)"
"4034621","0","2015-01-16T00:00:00","2.80","CASTLEDERG (3904)"
"4034756","1","2015-01-16T00:00:00","2.20","CASTLEDERG (3904)"
"4034891","2","2015-01-16T00:00:00","1.90","CASTLEDERG (3904)"
